11-hero-fallback	Gemini 3.1 Pro (High)	0	34
12-about-1	Gemini 3.1 Pro (High)	0	66
13-about-2	Gemini 3.1 Pro (High)	0	59
14-services-balinese-signature-massage	Gemini 3.1 Pro (High)	0	40
15-services-warm-stone-ritual	Gemini 3.1 Pro (High)	0	76
16-services-head-scalp-sanctuary	Gemini 3.1 Pro (High)	0	65
17-services-face-sculpting-ritual	Gemini 3.1 Pro (High)	0	104
18-services-body-contour-flow	Gemini 3.1 Pro (High)	0	63
19-services-lymphatic-drainage	Gemini 3.1 Pro (High)	0	92
20-services-signature-glow-facial	Gemini 3.1 Pro (High)	0	87
21-services-radiance-peel	Gemini 3.1 Pro (High)	0	90
22-services-skin-revival-therapy	Gemini 3.1 Pro (High)	0	37
23-products-botanical-cleanser	Gemini 3.1 Pro (High)	0	71
24-products-radiance-serum	Gemini 3.1 Pro (High)	0	72
25-products-clay-mask	Gemini 3.1 Pro (High)	0	79
26-products-body-oil	Gemini 3.1 Pro (High)	0	60
27-products-bath-soak	Gemini 3.1 Pro (High)	0	76
28-products-hand-balm	Gemini 3.1 Pro (High)	0	62
29-promos-opening-ritual	Gemini 3.1 Pro (High)	0	58
30-promos-duo-retreat	Gemini 3.1 Pro (High)	0	74
31-location	Gemini 3.1 Pro (High)	0	43
